# slug_en,slug_ar,dir,label_en,label_ar,search_vol
pdf-to-powerpoint,تحويل-pdf-بوربوينت,PDF→PPT,Convert PDF to PowerPoint,تحويل PDF إلى بوربوينت,1300
powerpoint-to-pdf,تحويل-بوربوينت-pdf,PPT→PDF,Convert PowerPoint to PDF,تحويل بوربوينت إلى PDF,1600
powerpoint-to-word,تحويل-بوربوينت-وورد,PPT→DOCX,Convert PowerPoint to Word,تحويل بوربوينت إلى وورد,650
word-to-powerpoint,تحويل-وورد-بوربوينت,DOCX→PPT,Convert Word to PowerPoint,تحويل وورد إلى بوربوينت,550
powerpoint-to-image,تحويل-بوربوينت-صورة,PPT→PNG,Convert PowerPoint to Image,تحويل بوربوينت إلى صورة,320
